group_id,t0,file_t0,t3,file_t3,t10,file_t10,t13,file_t13
26,2025-08-01 08:40:08,NHB250801084008.RAWLTVV,2025-08-01 08:43:03,NHB250801084303.RAWLTVZ,2025-08-01 08:50:08,NHB250801085008.RAWLTW2,2025-08-01 08:53:03,NHB250801085303.RAWLTW6
27,2025-08-01 09:00:07,NHB250801090007.RAWLTW9,2025-08-01 09:03:03,NHB250801090303.RAWLTWD,2025-08-01 09:10:08,NHB250801091008.RAWLTWG,2025-08-01 09:13:04,NHB250801091304.RAWLTWL
28,2025-08-01 09:20:08,NHB250801092008.RAWLTWP,2025-08-01 09:23:03,NHB250801092303.RAWLTWU,2025-08-01 09:30:08,NHB250801093008.RAWLTWX,2025-08-01 09:33:03,NHB250801093303.RAWLTX1
29,2025-08-01 09:40:07,NHB250801094007.RAWLTX4,2025-08-01 09:43:04,NHB250801094304.RAWLTX8,2025-08-01 09:50:08,NHB250801095008.RAWLTXB,2025-08-01 09:53:03,NHB250801095303.RAWLTXF
30,2025-08-01 10:00:08,NHB250801100008.RAWLTXJ,2025-08-01 10:03:04,NHB250801100304.RAWLTXN,2025-08-01 10:10:08,NHB250801101008.RAWLTXS,2025-08-01 10:13:04,NHB250801101304.RAWLTXW
31,2025-08-01 10:20:08,NHB250801102008.RAWLTXZ,2025-08-01 10:23:03,NHB250801102303.RAWLTY3,2025-08-01 10:30:08,NHB250801103008.RAWLTY6,2025-08-01 10:33:05,NHB250801103305.RAWLTYA
32,2025-08-01 10:40:08,NHB250801104008.RAWLTYD,2025-08-01 10:43:03,NHB250801104303.RAWLTYH,2025-08-01 10:50:07,NHB250801105007.RAWLTYL,2025-08-01 10:53:04,NHB250801105304.RAWLTYR
33,2025-08-01 11:00:08,NHB250801110008.RAWLTYU,2025-08-01 11:03:04,NHB250801110304.RAWLTYY,2025-08-01 11:10:07,NHB250801111007.RAWLTZ1,2025-08-01 11:13:05,NHB250801111305.RAWLTZ5
34,2025-08-01 11:20:08,NHB250801112008.RAWLTZ8,2025-08-01 11:23:03,NHB250801112303.RAWLTZC,2025-08-01 11:30:08,NHB250801113008.RAWLTZF,2025-08-01 11:33:03,NHB250801113303.RAWLTZK
35,2025-08-01 11:40:09,NHB250801114009.RAWLTZN,2025-08-01 11:43:04,NHB250801114304.RAWLTZT,2025-08-01 11:50:08,NHB250801115008.RAWLTZW,2025-08-01 11:53:04,NHB250801115304.RAWLU00
36,2025-08-01 12:00:07,NHB250801120007.RAWLU03,2025-08-01 12:03:04,NHB250801120304.RAWLU07,2025-08-01 12:10:08,NHB250801121008.RAWLU0A,2025-08-01 12:13:04,NHB250801121304.RAWLU0E
37,2025-08-01 12:20:07,NHB250801122007.RAWLU0H,2025-08-01 12:23:03,NHB250801122303.RAWLU0M,2025-08-01 12:30:08,NHB250801123008.RAWLU0R,2025-08-01 12:33:04,NHB250801123304.RAWLU0V
38,2025-08-01 12:40:08,NHB250801124008.RAWLU0Y,2025-08-01 12:43:04,NHB250801124304.RAWLU12,2025-08-01 12:50:09,NHB250801125009.RAWLU15,2025-08-01 12:53:04,NHB250801125304.RAWLU19
39,2025-08-01 13:00:08,NHB250801130008.RAWLU1C,2025-08-01 13:03:03,NHB250801130303.RAWLU1G,2025-08-01 13:10:08,NHB250801131008.RAWLU1K,2025-08-01 13:13:04,NHB250801131304.RAWLU1P
40,2025-08-01 13:20:07,NHB250801132007.RAWLU1T,2025-08-01 13:23:04,NHB250801132304.RAWLU1X,2025-08-01 13:30:08,NHB250801133008.RAWLU20,2025-08-01 13:33:03,NHB250801133303.RAWLU24
41,2025-08-01 13:40:08,NHB250801134008.RAWLU27,2025-08-01 13:43:03,NHB250801134303.RAWLU2B,2025-08-01 13:50:08,NHB250801135008.RAWLU2E,2025-08-01 13:53:03,NHB250801135303.RAWLU2J
42,2025-08-01 14:00:08,NHB250801140008.RAWLU2M,2025-08-01 14:03:03,NHB250801140303.RAWLU2S,2025-08-01 14:10:08,NHB250801141008.RAWLU2V,2025-08-01 14:13:03,NHB250801141303.RAWLU2Z
43,2025-08-01 14:20:08,NHB250801142008.RAWLU32,2025-08-01 14:23:04,NHB250801142304.RAWLU36,2025-08-01 14:30:07,NHB250801143007.RAWLU39,2025-08-01 14:33:04,NHB250801143304.RAWLU3D
44,2025-08-01 14:40:08,NHB250801144008.RAWLU3G,2025-08-01 14:43:03,NHB250801144303.RAWLU3L,2025-08-01 14:50:07,NHB250801145007.RAWLU3P,2025-08-01 14:53:03,NHB250801145303.RAWLU3U
45,2025-08-01 15:00:07,NHB250801150007.RAWLU3X,2025-08-01 15:03:03,NHB250801150303.RAWLU41,2025-08-01 15:10:08,NHB250801151008.RAWLU44,2025-08-01 15:13:04,NHB250801151304.RAWLU48
46,2025-08-01 15:20:08,NHB250801152008.RAWLU4B,2025-08-01 15:23:03,NHB250801152303.RAWLU4F,2025-08-01 15:30:08,NHB250801153008.RAWLU4J,2025-08-01 15:33:04,NHB250801153304.RAWLU4N
47,2025-08-01 15:40:08,NHB250801154008.RAWLU4S,2025-08-01 15:43:03,NHB250801154303.RAWLU4W,2025-08-01 15:50:07,NHB250801155007.RAWLU4Z,2025-08-01 15:53:05,NHB250801155305.RAWLU53
48,2025-08-01 16:00:08,NHB250801160008.RAWLU56,2025-08-01 16:03:04,NHB250801160304.RAWLU5A,2025-08-01 16:10:08,NHB250801161008.RAWLU5D,2025-08-01 16:13:03,NHB250801161303.RAWLU5H
49,2025-08-01 16:20:07,NHB250801162007.RAWLU5L,2025-08-01 16:23:03,NHB250801162303.RAWLU5R,2025-08-01 16:30:07,NHB250801163007.RAWLU5U,2025-08-01 16:33:05,NHB250801163305.RAWLU5Y
50,2025-08-01 16:40:08,NHB250801164008.RAWLU61,2025-08-01 16:43:03,NHB250801164303.RAWLU65,2025-08-01 16:50:09,NHB250801165009.RAWLU68,2025-08-01 16:53:03,NHB250801165303.RAWLU6C
51,2025-08-01 17:00:08,NHB250801170008.RAWLU6F,2025-08-01 17:03:04,NHB250801170304.RAWLU6K,2025-08-01 17:10:08,NHB250801171008.RAWLU6N,2025-08-01 17:13:03,NHB250801171303.RAWLU6T
52,2025-08-01 17:20:08,NHB250801172008.RAWLU6W,2025-08-01 17:23:03,NHB250801172303.RAWLU70,2025-08-01 17:30:07,NHB250801173007.RAWLU73,2025-08-01 17:33:03,NHB250801173303.RAWLU77
53,2025-08-01 17:40:07,NHB250801174007.RAWLU7A,2025-08-01 17:43:03,NHB250801174303.RAWLU7E,2025-08-01 17:50:08,NHB250801175008.RAWLU7H,2025-08-01 17:53:04,NHB250801175304.RAWLU7M
