timestamp,day,filename,relative_path,mode,scan_type,sweeps,rays,gates,gate_spacing_m,max_range_km,reflectivity_shape
2025-08-01 03:00:07,1,NHB250801030007.RAWLTMM,01\NHB250801030007.RAWLTMM,Long Range,ppi,4,1389,500,600.0,299.3999938964844,"(1389, 500)"
2025-08-01 03:03:04,1,NHB250801030304.RAWLTMS,01\NHB250801030304.RAWLTMS,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 03:10:08,1,NHB250801031008.RAWLTMV,01\NHB250801031008.RAWLTMV,Long Range,ppi,4,1388,500,600.0,299.3999938964844,"(1388, 500)"
2025-08-01 03:13:03,1,NHB250801031303.RAWLTMZ,01\NHB250801031303.RAWLTMZ,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 03:20:08,1,NHB250801032008.RAWLTN2,01\NHB250801032008.RAWLTN2,Long Range,ppi,4,1389,500,600.0,299.3999938964844,"(1389, 500)"
2025-08-01 03:23:03,1,NHB250801032303.RAWLTN6,01\NHB250801032303.RAWLTN6,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 03:30:08,1,NHB250801033008.RAWLTN9,01\NHB250801033008.RAWLTN9,Long Range,ppi,4,1387,500,600.0,299.3999938964844,"(1387, 500)"
2025-08-01 03:33:04,1,NHB250801033304.RAWLTND,01\NHB250801033304.RAWLTND,Short Range,ppi,8,2830,500,240.0,119.76000213623047,"(2830, 500)"
2025-08-01 03:40:07,1,NHB250801034007.RAWLTNG,01\NHB250801034007.RAWLTNG,Long Range,ppi,4,1391,500,600.0,299.3999938964844,"(1391, 500)"
2025-08-01 03:43:03,1,NHB250801034303.RAWLTNL,01\NHB250801034303.RAWLTNL,Short Range,ppi,8,2826,500,240.0,119.76000213623047,"(2826, 500)"
2025-08-01 03:50:07,1,NHB250801035007.RAWLTNP,01\NHB250801035007.RAWLTNP,Long Range,ppi,4,1387,500,600.0,299.3999938964844,"(1387, 500)"
2025-08-01 03:53:05,1,NHB250801035305.RAWLTNU,01\NHB250801035305.RAWLTNU,Short Range,ppi,8,2828,500,240.0,119.76000213623047,"(2828, 500)"
2025-08-01 04:00:08,1,NHB250801040008.RAWLTNX,01\NHB250801040008.RAWLTNX,Long Range,ppi,4,1389,500,600.0,299.3999938964844,"(1389, 500)"
2025-08-01 04:03:04,1,NHB250801040304.RAWLTP1,01\NHB250801040304.RAWLTP1,Short Range,ppi,8,2827,500,240.0,119.76000213623047,"(2827, 500)"
2025-08-01 04:10:07,1,NHB250801041007.RAWLTP4,01\NHB250801041007.RAWLTP4,Long Range,ppi,4,1388,500,600.0,299.3999938964844,"(1388, 500)"
2025-08-01 04:13:03,1,NHB250801041303.RAWLTP8,01\NHB250801041303.RAWLTP8,Short Range,ppi,8,2828,500,240.0,119.76000213623047,"(2828, 500)"
2025-08-01 04:20:08,1,NHB250801042008.RAWLTPB,01\NHB250801042008.RAWLTPB,Long Range,ppi,4,1388,500,600.0,299.3999938964844,"(1388, 500)"
2025-08-01 04:23:04,1,NHB250801042304.RAWLTPF,01\NHB250801042304.RAWLTPF,Short Range,ppi,8,2828,500,240.0,119.76000213623047,"(2828, 500)"
2025-08-01 04:30:08,1,NHB250801043008.RAWLTPJ,01\NHB250801043008.RAWLTPJ,Long Range,ppi,4,1387,500,600.0,299.3999938964844,"(1387, 500)"
2025-08-01 04:33:03,1,NHB250801043303.RAWLTPN,01\NHB250801043303.RAWLTPN,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 04:40:08,1,NHB250801044008.RAWLTPS,01\NHB250801044008.RAWLTPS,Long Range,ppi,4,1389,500,600.0,299.3999938964844,"(1389, 500)"
2025-08-01 04:43:04,1,NHB250801044304.RAWLTPW,01\NHB250801044304.RAWLTPW,Short Range,ppi,8,2828,500,240.0,119.76000213623047,"(2828, 500)"
2025-08-01 04:50:08,1,NHB250801045008.RAWLTPZ,01\NHB250801045008.RAWLTPZ,Long Range,ppi,4,1389,500,600.0,299.3999938964844,"(1389, 500)"
2025-08-01 04:53:03,1,NHB250801045303.RAWLTR3,01\NHB250801045303.RAWLTR3,Short Range,ppi,8,2831,500,240.0,119.76000213623047,"(2831, 500)"
2025-08-01 05:00:08,1,NHB250801050008.RAWLTR6,01\NHB250801050008.RAWLTR6,Long Range,ppi,4,1392,500,600.0,299.3999938964844,"(1392, 500)"
2025-08-01 05:03:03,1,NHB250801050303.RAWLTRA,01\NHB250801050303.RAWLTRA,Short Range,ppi,8,2828,500,240.0,119.76000213623047,"(2828, 500)"
2025-08-01 05:10:07,1,NHB250801051007.RAWLTRD,01\NHB250801051007.RAWLTRD,Long Range,ppi,4,1388,500,600.0,299.3999938964844,"(1388, 500)"
2025-08-01 05:13:03,1,NHB250801051303.RAWLTRH,01\NHB250801051303.RAWLTRH,Short Range,ppi,8,2828,500,240.0,119.76000213623047,"(2828, 500)"
2025-08-01 05:20:08,1,NHB250801052008.RAWLTRL,01\NHB250801052008.RAWLTRL,Long Range,ppi,4,1389,500,600.0,299.3999938964844,"(1389, 500)"
2025-08-01 05:23:03,1,NHB250801052303.RAWLTRR,01\NHB250801052303.RAWLTRR,Short Range,ppi,8,2831,500,240.0,119.76000213623047,"(2831, 500)"
2025-08-01 05:30:08,1,NHB250801053008.RAWLTRU,01\NHB250801053008.RAWLTRU,Long Range,ppi,4,1389,500,600.0,299.3999938964844,"(1389, 500)"
2025-08-01 05:33:03,1,NHB250801053303.RAWLTRY,01\NHB250801053303.RAWLTRY,Short Range,ppi,8,2827,500,240.0,119.76000213623047,"(2827, 500)"
2025-08-01 05:40:08,1,NHB250801054008.RAWLTS1,01\NHB250801054008.RAWLTS1,Long Range,ppi,4,1388,500,600.0,299.3999938964844,"(1388, 500)"
2025-08-01 05:43:03,1,NHB250801054303.RAWLTS5,01\NHB250801054303.RAWLTS5,Short Range,ppi,8,2827,500,240.0,119.76000213623047,"(2827, 500)"
2025-08-01 05:50:08,1,NHB250801055008.RAWLTS8,01\NHB250801055008.RAWLTS8,Long Range,ppi,4,1388,500,600.0,299.3999938964844,"(1388, 500)"
2025-08-01 05:53:03,1,NHB250801055303.RAWLTSC,01\NHB250801055303.RAWLTSC,Short Range,ppi,8,2828,500,240.0,119.76000213623047,"(2828, 500)"
2025-08-01 06:00:08,1,NHB250801060008.RAWLTSF,01\NHB250801060008.RAWLTSF,Long Range,ppi,4,1393,500,600.0,299.3999938964844,"(1393, 500)"
2025-08-01 06:03:03,1,NHB250801060303.RAWLTSK,01\NHB250801060303.RAWLTSK,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 06:10:08,1,NHB250801061008.RAWLTSN,01\NHB250801061008.RAWLTSN,Long Range,ppi,4,1389,500,600.0,299.3999938964844,"(1389, 500)"
2025-08-01 06:13:03,1,NHB250801061303.RAWLTST,01\NHB250801061303.RAWLTST,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 06:20:08,1,NHB250801062008.RAWLTSW,01\NHB250801062008.RAWLTSW,Long Range,ppi,4,1388,500,600.0,299.3999938964844,"(1388, 500)"
2025-08-01 06:23:03,1,NHB250801062303.RAWLTT0,01\NHB250801062303.RAWLTT0,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 06:30:07,1,NHB250801063007.RAWLTT3,01\NHB250801063007.RAWLTT3,Long Range,ppi,4,1388,500,600.0,299.3999938964844,"(1388, 500)"
2025-08-01 06:33:04,1,NHB250801063304.RAWLTT7,01\NHB250801063304.RAWLTT7,Short Range,ppi,8,2827,500,240.0,119.76000213623047,"(2827, 500)"
2025-08-01 06:40:08,1,NHB250801064008.RAWLTTA,01\NHB250801064008.RAWLTTA,Long Range,ppi,4,1387,500,600.0,299.3999938964844,"(1387, 500)"
2025-08-01 06:43:03,1,NHB250801064303.RAWLTTE,01\NHB250801064303.RAWLTTE,Short Range,ppi,8,2832,500,240.0,119.76000213623047,"(2832, 500)"
2025-08-01 06:50:08,1,NHB250801065008.RAWLTTH,01\NHB250801065008.RAWLTTH,Long Range,ppi,4,1387,500,600.0,299.3999938964844,"(1387, 500)"
2025-08-01 06:53:03,1,NHB250801065303.RAWLTTM,01\NHB250801065303.RAWLTTM,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 07:00:08,1,NHB250801070008.RAWLTTR,01\NHB250801070008.RAWLTTR,Long Range,ppi,4,1387,500,600.0,299.3999938964844,"(1387, 500)"
2025-08-01 07:03:04,1,NHB250801070304.RAWLTTV,01\NHB250801070304.RAWLTTV,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 07:10:07,1,NHB250801071007.RAWLTTY,01\NHB250801071007.RAWLTTY,Long Range,ppi,4,1388,500,600.0,299.3999938964844,"(1388, 500)"
2025-08-01 07:13:03,1,NHB250801071303.RAWLTU2,01\NHB250801071303.RAWLTU2,Short Range,ppi,8,2827,500,240.0,119.76000213623047,"(2827, 500)"
2025-08-01 07:20:08,1,NHB250801072008.RAWLTU5,01\NHB250801072008.RAWLTU5,Long Range,ppi,4,1388,500,600.0,299.3999938964844,"(1388, 500)"
2025-08-01 07:23:03,1,NHB250801072303.RAWLTU9,01\NHB250801072303.RAWLTU9,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 07:30:08,1,NHB250801073008.RAWLTUC,01\NHB250801073008.RAWLTUC,Long Range,ppi,4,1389,500,600.0,299.3999938964844,"(1389, 500)"
2025-08-01 07:33:03,1,NHB250801073303.RAWLTUG,01\NHB250801073303.RAWLTUG,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 07:40:08,1,NHB250801074008.RAWLTUK,01\NHB250801074008.RAWLTUK,Long Range,ppi,4,1388,500,600.0,299.3999938964844,"(1388, 500)"
2025-08-01 07:43:04,1,NHB250801074304.RAWLTUP,01\NHB250801074304.RAWLTUP,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 07:50:08,1,NHB250801075008.RAWLTUT,01\NHB250801075008.RAWLTUT,Long Range,ppi,4,1389,500,600.0,299.3999938964844,"(1389, 500)"
2025-08-01 07:53:04,1,NHB250801075304.RAWLTUX,01\NHB250801075304.RAWLTUX,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 08:00:08,1,NHB250801080008.RAWLTV0,01\NHB250801080008.RAWLTV0,Long Range,ppi,4,1389,500,600.0,299.3999938964844,"(1389, 500)"
2025-08-01 08:03:03,1,NHB250801080303.RAWLTV4,01\NHB250801080303.RAWLTV4,Short Range,ppi,8,2833,500,240.0,119.76000213623047,"(2833, 500)"
2025-08-01 08:10:08,1,NHB250801081008.RAWLTV7,01\NHB250801081008.RAWLTV7,Long Range,ppi,4,1389,500,600.0,299.3999938964844,"(1389, 500)"
2025-08-01 08:13:04,1,NHB250801081304.RAWLTVB,01\NHB250801081304.RAWLTVB,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 08:20:07,1,NHB250801082007.RAWLTVE,01\NHB250801082007.RAWLTVE,Long Range,ppi,4,1389,500,600.0,299.3999938964844,"(1389, 500)"
2025-08-01 08:23:04,1,NHB250801082304.RAWLTVJ,01\NHB250801082304.RAWLTVJ,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 08:30:08,1,NHB250801083008.RAWLTVM,01\NHB250801083008.RAWLTVM,Long Range,ppi,4,1388,500,600.0,299.3999938964844,"(1388, 500)"
2025-08-01 08:33:04,1,NHB250801083304.RAWLTVS,01\NHB250801083304.RAWLTVS,Short Range,ppi,8,2827,500,240.0,119.76000213623047,"(2827, 500)"
2025-08-01 08:40:08,1,NHB250801084008.RAWLTVV,01\NHB250801084008.RAWLTVV,Long Range,ppi,4,1387,500,600.0,299.3999938964844,"(1387, 500)"
2025-08-01 08:43:03,1,NHB250801084303.RAWLTVZ,01\NHB250801084303.RAWLTVZ,Short Range,ppi,8,2826,500,240.0,119.76000213623047,"(2826, 500)"
2025-08-01 08:50:08,1,NHB250801085008.RAWLTW2,01\NHB250801085008.RAWLTW2,Long Range,ppi,4,1388,500,600.0,299.3999938964844,"(1388, 500)"
2025-08-01 08:53:03,1,NHB250801085303.RAWLTW6,01\NHB250801085303.RAWLTW6,Short Range,ppi,8,2830,500,240.0,119.76000213623047,"(2830, 500)"
2025-08-01 09:00:07,1,NHB250801090007.RAWLTW9,01\NHB250801090007.RAWLTW9,Long Range,ppi,4,1391,500,600.0,299.3999938964844,"(1391, 500)"
2025-08-01 09:03:03,1,NHB250801090303.RAWLTWD,01\NHB250801090303.RAWLTWD,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 09:10:08,1,NHB250801091008.RAWLTWG,01\NHB250801091008.RAWLTWG,Long Range,ppi,4,1389,500,600.0,299.3999938964844,"(1389, 500)"
2025-08-01 09:13:04,1,NHB250801091304.RAWLTWL,01\NHB250801091304.RAWLTWL,Short Range,ppi,8,2828,500,240.0,119.76000213623047,"(2828, 500)"
2025-08-01 09:20:08,1,NHB250801092008.RAWLTWP,01\NHB250801092008.RAWLTWP,Long Range,ppi,4,1389,500,600.0,299.3999938964844,"(1389, 500)"
2025-08-01 09:23:03,1,NHB250801092303.RAWLTWU,01\NHB250801092303.RAWLTWU,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 09:30:08,1,NHB250801093008.RAWLTWX,01\NHB250801093008.RAWLTWX,Long Range,ppi,4,1389,500,600.0,299.3999938964844,"(1389, 500)"
2025-08-01 09:33:03,1,NHB250801093303.RAWLTX1,01\NHB250801093303.RAWLTX1,Short Range,ppi,8,2828,500,240.0,119.76000213623047,"(2828, 500)"
2025-08-01 09:40:07,1,NHB250801094007.RAWLTX4,01\NHB250801094007.RAWLTX4,Long Range,ppi,4,1388,500,600.0,299.3999938964844,"(1388, 500)"
2025-08-01 09:43:04,1,NHB250801094304.RAWLTX8,01\NHB250801094304.RAWLTX8,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 09:50:08,1,NHB250801095008.RAWLTXB,01\NHB250801095008.RAWLTXB,Long Range,ppi,4,1388,500,600.0,299.3999938964844,"(1388, 500)"
2025-08-01 09:53:03,1,NHB250801095303.RAWLTXF,01\NHB250801095303.RAWLTXF,Short Range,ppi,8,2827,500,240.0,119.76000213623047,"(2827, 500)"
2025-08-01 10:00:08,1,NHB250801100008.RAWLTXJ,01\NHB250801100008.RAWLTXJ,Long Range,ppi,4,1388,500,600.0,299.3999938964844,"(1388, 500)"
